iter	Passed	Remaining
0	87	439785
1	208	521608
2	298	497370
3	402	502466
4	485	484618
5	561	467466
6	640	456532
7	733	457409
8	826	458444
9	921	459888
10	1023	464055
11	1182	491488
12	1384	531026
13	1547	551149
14	1733	576142
15	1832	570792
16	2034	596341
17	2156	596839
18	2254	590915
19	2335	581458
20	2436	577663
21	2539	574553
22	2614	565648
23	2690	557741
24	2760	549250
25	2828	541187
26	2918	537460
27	3000	532755
28	3078	527742
29	3141	520452
30	3192	511647
31	3272	507989
32	3341	502990
33	3421	499698
34	3507	497626
35	3570	492333
36	3639	488233
37	3685	481283
38	3741	475965
39	3805	471885
40	3865	467495
41	3934	464411
42	4004	461677
43	4068	458222
44	4128	454589
45	4190	451292
46	4251	448007
47	4322	445921
48	4388	443390
49	4463	441894
50	4524	439013
51	4580	435852
52	4649	433990
53	4705	431034
54	4771	429015
55	4834	426819
56	4888	423941
57	4948	421621
58	5015	420061
59	5086	418780
60	5160	417800
61	5233	416831
62	5301	415487
63	5371	414246
64	5438	412904
65	5509	411842
66	5580	410907
67	5649	409742
68	5722	408945
69	5792	407972
70	5857	406642
71	5931	406000
72	6003	405176
73	6063	403651
74	6129	402504
75	6185	400777
76	6251	399667
77	6311	398241
78	6379	397357
79	6443	396275
80	6512	395495
81	6576	394450
82	6645	393711
83	6709	392673
84	6771	391544
85	6847	391273
86	6942	392045
87	7037	392830
88	7113	392520
89	7185	392027
90	7256	391438
91	7327	390895
92	7393	390104
93	7476	390189
94	7557	390219
95	7629	389726
96	7695	388999
97	7761	388252
98	7841	388192
99	7930	388598
100	8009	388506
101	8080	388030
102	8154	387706
103	8227	387328
104	8298	386877
105	8370	386453
106	8441	386008
107	8510	385511
108	8570	384565
109	8635	383900
110	8700	383215
111	8769	382718
112	8826	381744
113	8891	381093
114	8959	380570
115	9018	379730
116	9084	379159
117	9151	378608
118	9211	377817
119	9286	377661
120	9347	376896
121	9415	376479
122	9473	375647
123	9543	375269
124	9613	374911
125	9679	374419
126	9745	373950
127	9802	373111
128	9869	372671
129	9940	372389
130	10015	372258
131	10087	372033
132	10154	371581
133	10216	371003
134	10297	371086
135	10399	371928
136	10497	372621
137	10586	372986
138	10683	373618
139	10770	373876
140	10843	373683
141	10915	373442
142	10995	373460
143	11061	373021
144	11127	372578
145	11200	372391
146	11295	372908
147	11382	373156
148	11469	373406
149	11553	373559
150	11644	373941
151	11732	374198
152	11809	374135
153	11887	374080
154	11965	374014
155	12047	374098
156	12124	374017
157	12200	373902
158	12276	373777
159	12348	373529
160	12435	373745
161	12514	373721
162	12605	374063
163	12690	374210
164	12769	374196
165	12850	374208
166	12929	374167
167	13000	373920
168	13102	374555
169	13180	374474
170	13262	374516
171	13343	374541
172	13420	374464
173	13482	373944
174	13553	373683
175	13623	373419
176	13693	373117
177	13761	372805
178	13835	372636
179	13909	372468
180	13985	372351
181	14060	372214
182	14132	372005
183	14213	372035
184	14292	371984
185	14363	371763
186	14434	371515
187	14501	371183
188	14573	370969
189	14638	370589
190	14702	370191
191	14769	369859
192	14831	369400
193	14892	368943
194	14959	368615
195	15026	368297
196	15095	368037
197	15156	367572
198	15215	367087
199	15293	367040
200	15366	366883
201	15454	367088
202	15549	367445
203	15629	367437
204	15691	367028
205	15766	366911
206	15824	366402
207	15883	365928
208	15950	365636
209	16013	365254
210	16083	365040
211	16154	364857
212	16215	364429
213	16289	364305
214	16355	364004
215	16417	363606
216	16493	363534
217	16564	363362
218	16644	363356
219	16718	363244
220	16788	363043
221	16887	363465
222	16984	363832
223	17079	364167
224	17164	364278
225	17242	364231
226	17309	363953
227	17379	363758
228	17440	363358
229	17511	363168
230	17570	362751
231	17637	362489
232	17705	362234
233	17770	361931
234	17837	361686
235	17910	361542
236	17980	361349
237	18050	361165
238	18118	360924
239	18192	360814
240	18256	360505
241	18324	360285
242	18387	359965
243	18461	359852
244	18526	359574
245	18592	359294
246	18659	359064
247	18724	358790
248	18790	358530
249	18858	358310
250	18926	358102
251	18991	357815
252	19063	357678
253	19136	357561
254	19230	357843
255	19331	358240
256	19432	358628
257	19512	358629
258	19587	358546
259	19660	358421
260	19737	358381
261	19810	358248
262	19878	358033
263	19957	358027
264	20028	357865
265	20100	357734
266	20175	357635
267	20256	357658
268	20333	357608
269	20392	357243
270	20456	356974
271	20522	356723
272	20589	356511
273	20658	356329
274	20722	356051
275	20794	355916
276	20862	355718
277	20940	355682
278	21010	355523
279	21086	355455
280	21150	355198
281	21222	355061
282	21285	354786
283	21354	354607
284	21419	354354
285	21488	354192
286	21555	353979
287	21633	353949
288	21711	353915
289	21790	353902
290	21875	353996
291	21960	354073
292	22043	354130
293	22126	354168
294	22214	354303
295	22305	354475
296	22402	354742
297	22504	355094
298	22615	355575
299	22719	355933
300	22822	356293
301	22922	356588
302	23018	356816
303	23116	357081
304	23214	357352
305	23325	357811
306	23430	358174
307	23500	358005
308	23567	357783
309	23641	357677
310	23706	357428
311	23771	357188
312	23834	356902
313	23913	356868
314	23976	356604
315	24043	356389
316	24104	356097
317	24167	355827
318	24240	355707
319	24313	355589
320	24380	355372
321	24453	355264
322	24530	355198
323	24604	355093
324	24678	354986
325	24739	354699
