iter	RMSE
0	14.63685347
1	13.68224697
2	12.85748742
3	12.15469453
4	11.55122879
5	11.02349053
6	10.58075529
7	10.21478934
8	9.887360377
9	9.604301478
10	9.378627854
11	9.164740272
12	8.979786964
13	8.825689843
14	8.706677418
15	8.594851717
16	8.505842026
17	8.437888579
18	8.379290939
19	8.319178595
20	8.270323774
21	8.231117338
22	8.19089907
23	8.165321721
24	8.140142504
25	8.112251973
26	8.09094311
27	8.071958868
28	8.049833579
29	8.028278383
30	7.993984501
31	7.980954756
32	7.97311111
33	7.960243006
34	7.949858912
35	7.942898239
36	7.934860944
37	7.926239196
38	7.919597081
39	7.911041957
40	7.906774156
41	7.900209679
42	7.896581846
43	7.892748503
44	7.886394677
45	7.873880532
46	7.852878847
47	7.848523497
48	7.839776511
49	7.834711215
50	7.823361057
51	7.816087517
52	7.808817904
53	7.802850117
54	7.798225878
55	7.794175125
56	7.789052482
57	7.780534719
58	7.764043399
59	7.75470166
60	7.75024708
61	7.745870174
62	7.742531096
63	7.738329496
64	7.73446217
65	7.724260001
66	7.719206077
67	7.712021642
68	7.70931824
69	7.707580656
70	7.702348087
71	7.693579661
72	7.691753902
73	7.685741081
74	7.683982476
75	7.680560169
76	7.678514211
77	7.676322607
78	7.674703779
79	7.669107607
80	7.667292893
81	7.665180921
82	7.656890129
83	7.653655372
84	7.649023905
85	7.645103152
86	7.64330379
87	7.641067135
88	7.636249452
89	7.634346205
90	7.628838011
91	7.628700814
92	7.625711992
93	7.623946862
94	7.620066894
95	7.618495236
96	7.611873695
97	7.608566735
98	7.607349736
99	7.604126981
100	7.602574695
101	7.590603093
102	7.584459747
103	7.578123119
104	7.573664239
105	7.566569651
106	7.563729929
107	7.56095084
108	7.556976037
109	7.551005311
110	7.545373122
111	7.541764004
112	7.537250394
113	7.532263992
114	7.528145579
115	7.523428049
116	7.520615354
117	7.514562741
118	7.510812348
119	7.506652221
120	7.505549135
121	7.502852605
122	7.501002883
123	7.495882554
124	7.487432215
125	7.484367678
126	7.481898218
127	7.477663999
128	7.475555495
129	7.468734217
130	7.464388645
131	7.462431397
132	7.460419857
133	7.458067396
134	7.454252923
135	7.451774486
136	7.448490964
137	7.445086733
138	7.440550224
139	7.43400486
140	7.428777568
141	7.42753148
142	7.423287929
143	7.417929612
144	7.415488748
145	7.413015477
146	7.410186503
147	7.40891747
148	7.407876401
149	7.404578744
150	7.400727214
151	7.397062586
152	7.392712564
153	7.390021909
154	7.38901336
155	7.386412887
156	7.383608053
157	7.381300495
158	7.379020841
159	7.377555426
160	7.375399925
161	7.37355311
162	7.372081232
163	7.370243401
164	7.367867432
165	7.364858882
166	7.362126068
167	7.358693857
168	7.355958291
169	7.351481399
170	7.349285584
171	7.346089927
172	7.34255534
173	7.338253439
174	7.335479983
175	7.331238911
176	7.328015398
177	7.326455757
178	7.322473151
179	7.319317079
180	7.317010109
181	7.315873159
182	7.311999961
183	7.309735958
184	7.307293297
185	7.303696695
186	7.30205613
187	7.301109035
188	7.296912925
189	7.295880427
190	7.294317564
191	7.293787942
192	7.290556796
193	7.288381277
194	7.286233283
195	7.283755241
196	7.280201337
197	7.277049094
198	7.275607565
199	7.272856908
200	7.270697762
201	7.267775649
202	7.266165671
203	7.263389534
204	7.260734427
205	7.258819646
206	7.25671169
207	7.253296264
208	7.25160467
209	7.250637876
210	7.249551153
211	7.247777874
212	7.24513025
213	7.243711699
214	7.241285738
215	7.239397893
216	7.23762743
217	7.23565029
218	7.234129717
219	7.231965309
220	7.229381616
221	7.228360382
222	7.226589343
223	7.224461272
224	7.219945053
225	7.219224601
226	7.217622717
227	7.214957587
228	7.213675528
229	7.21144544
230	7.20949616
231	7.20682617
232	7.205651576
233	7.203180787
234	7.201768753
235	7.198900247
236	7.196632314
237	7.194992412
238	7.193089483
239	7.19103158
240	7.190089551
241	7.189742874
242	7.188938945
243	7.187229559
244	7.18562871
245	7.182973058
246	7.181381154
247	7.180018948
248	7.178571607
249	7.175925126
250	7.174877888
251	7.173505061
252	7.171268816
253	7.169664445
254	7.167499525
255	7.165968417
256	7.163952536
257	7.160645844
258	7.158664866
259	7.157508854
260	7.156046691
261	7.154691616
262	7.153833614
263	7.151657726
264	7.149448952
265	7.147463298
266	7.144631003
267	7.142900254
268	7.142104672
269	7.140492271
270	7.13929703
271	7.138161794
272	7.135390938
273	7.134529875
274	7.134112361
275	7.132735706
276	7.132080521
277	7.130448938
278	7.129785621
279	7.127936401
280	7.126276939
281	7.125254379
282	7.123645793
283	7.122433078
284	7.120090945
285	7.119545191
286	7.117036413
287	7.11517362
288	7.114546569
289	7.112359001
290	7.109432615
291	7.10754237
292	7.106423279
293	7.10595603
294	7.104067231
295	7.102195081
296	7.100543018
297	7.09884622
298	7.096755589
299	7.094270262
300	7.093480134
301	7.092377718
302	7.090615734
303	7.088704713
304	7.086655026
305	7.085291738
306	7.083428269
307	7.083238113
308	7.081586425
309	7.080426157
310	7.078345322
311	7.076684096
312	7.07595705
313	7.073441001
314	7.071557748
315	7.070276034
316	7.068916223
317	7.068075534
318	7.067859946
319	7.066490281
320	7.065612175
321	7.064740408
322	7.063563436
323	7.062847421
324	7.061900492
325	7.061173326
326	7.060172465
327	7.059463016
328	7.057569794
329	7.057207285
330	7.056495727
331	7.053232418
332	7.051598864
333	7.049740482
334	7.047254694
335	7.046861183
336	7.045209098
337	7.043332733
338	7.042750757
339	7.039558283
340	7.037552742
341	7.035981518
342	7.035020895
343	7.034023943
344	7.032968505
345	7.031723301
