iter	RMSE
0	9.799595296
1	9.53214901
2	9.312062964
3	9.124721065
4	8.965486385
5	8.824936395
6	8.713844386
7	8.618164066
8	8.532999608
9	8.456371217
10	8.390788305
11	8.332727496
12	8.272780852
13	8.233066874
14	8.189519256
15	8.157988116
16	8.119322737
17	8.089175742
18	8.066917833
19	8.048003862
20	8.026973956
21	8.008067482
22	7.991171027
23	7.978527338
24	7.951175064
25	7.940438009
26	7.933934684
27	7.923332101
28	7.913287655
29	7.893758186
30	7.884190924
31	7.869217175
32	7.861453729
33	7.855366753
34	7.849682938
35	7.842949588
36	7.837489349
37	7.830901651
38	7.822565855
39	7.811519989
40	7.808857904
41	7.796942707
42	7.791006064
43	7.786497949
44	7.778792048
45	7.770895495
46	7.758198023
47	7.750520866
48	7.747129118
49	7.741000785
50	7.7370302
51	7.731462355
52	7.724709762
53	7.720098463
54	7.71390385
55	7.70643252
56	7.69936096
57	7.696709316
58	7.683735756
59	7.680232528
60	7.668147839
61	7.664392625
62	7.662806941
63	7.658643988
64	7.656177916
65	7.650480695
66	7.646601782
67	7.641725261
68	7.637867841
69	7.632312309
70	7.6290763
71	7.625869364
72	7.622557015
73	7.619010423
74	7.61543616
75	7.608033129
76	7.602663988
77	7.599650463
78	7.597118356
79	7.59547336
80	7.591032482
81	7.586920915
82	7.582403425
83	7.579148116
84	7.575337572
85	7.571084145
86	7.56993975
87	7.567385651
88	7.565778443
89	7.560546611
90	7.554412387
91	7.552346076
92	7.548866022
93	7.546154026
94	7.542535939
95	7.540899905
96	7.539205138
97	7.536702532
98	7.534536666
99	7.532534504
100	7.530427936
101	7.529253766
102	7.521850681
103	7.518559851
104	7.51756373
105	7.513357323
106	7.509761569
107	7.508178506
108	7.507212169
109	7.504645638
110	7.501732448
111	7.500282502
112	7.496974576
113	7.492757994
114	7.489338283
115	7.485561719
116	7.480905279
117	7.478240245
118	7.476261353
119	7.472199916
120	7.469337747
121	7.467245475
122	7.46507585
123	7.461530776
124	7.46010279
125	7.457364174
126	7.454120439
127	7.452883437
128	7.45058412
129	7.446139509
130	7.443734449
131	7.437951709
132	7.432496796
133	7.429265806
134	7.426941212
135	7.424687835
136	7.420950507
137	7.418138483
138	7.415721901
139	7.413478568
140	7.411835863
141	7.409678018
142	7.405366397
143	7.40294637
144	7.401377526
145	7.399136659
146	7.396261026
147	7.394164716
148	7.392068864
149	7.391074888
150	7.387588077
151	7.386761464
152	7.384796181
153	7.38267869
154	7.381032173
155	7.378469005
156	7.37524885
157	7.372144773
158	7.370276406
159	7.368521873
160	7.367333708
161	7.364786483
162	7.360403971
163	7.356166639
164	7.351592396
165	7.350418624
166	7.348946208
167	7.346514375
168	7.34512769
169	7.343533455
