iter	Passed	Remaining
0	90	211843
1	192	225384
2	345	269184
3	544	317759
4	620	289782
5	693	269920
6	776	258803
7	849	247682
8	913	236655
9	1025	238952
10	1097	232293
11	1219	236522
12	1365	244346
13	1485	246794
14	1587	246083
15	1688	245289
16	1782	243591
17	1870	241303
18	1949	238110
19	2036	236233
20	2117	233815
21	2190	230828
22	2272	228914
23	2378	229500
24	2462	228040
25	2557	227637
26	2640	226204
27	2735	225838
28	2825	225176
29	2907	223882
30	2985	222351
31	3075	221811
32	3159	220884
33	3252	220616
34	3328	219180
35	3411	218334
36	3507	218321
37	3601	218145
38	3687	217535
39	3769	216736
40	3861	216514
41	3942	215706
42	4025	215054
43	4102	214078
44	4183	213367
45	4259	212408
46	4345	211982
47	4427	211398
48	4512	210992
49	4609	211094
50	4704	211162
51	4796	211062
52	4883	210719
53	4978	210758
54	5069	210620
55	5148	209999
56	5231	209524
57	5321	209382
58	5401	208836
59	5490	208645
60	5571	208160
61	5650	207624
62	5743	207578
63	5831	207389
64	5918	207146
65	5995	206585
66	6078	206226
67	6172	206244
68	6265	206204
69	6352	206013
70	6442	205876
71	6525	205539
72	6609	205270
73	6701	205201
74	6781	204808
75	6847	203985
76	6936	203857
77	7010	203306
78	7100	203208
79	7185	202987
80	7260	202496
81	7358	202631
82	7449	202581
83	7535	202369
84	7619	202144
85	7700	201826
86	7790	201734
87	7873	201489
88	7958	201279
89	8044	201106
90	8127	200853
91	8219	200830
92	8312	200845
93	8404	200804
94	8488	200606
95	8570	200328
96	8654	200129
97	8735	199837
98	8821	199690
99	8898	199316
100	8980	199078
101	9053	198649
102	9138	198463
103	9228	198413
104	9318	198342
105	9399	198101
106	9494	198147
107	9578	197945
108	9666	197844
109	9761	197887
110	9840	197615
111	9927	197477
112	10009	197270
113	10095	197121
114	10190	197161
115	10275	197003
116	10355	196762
117	10448	196741
118	10539	196710
119	10631	196681
120	10715	196515
121	10804	196435
122	10889	196276
123	10989	196395
124	11080	196339
125	11171	196293
126	11263	196268
127	11348	196123
128	11452	196288
129	11532	196058
130	11628	196095
131	11706	195825
132	11789	195628
133	11862	195294
134	11940	195028
135	12029	194955
136	12105	194654
137	12188	194485
138	12280	194452
139	12506	196527
140	12594	196419
141	12681	196292
142	12755	195969
143	12839	195795
144	12920	195582
145	12989	195192
146	13066	194923
147	13155	194836
148	13217	194358
149	13302	194214
150	13385	194041
151	13477	194003
152	13573	194018
153	13668	194020
154	13747	193801
155	13838	193743
156	13930	193697
157	14024	193678
158	14110	193549
159	14201	193494
160	14280	193269
161	14361	193085
162	14449	192990
163	14538	192897
164	14622	192748
165	14707	192612
166	14790	192452
167	14872	192280
168	14952	192081
169	15040	191990
170	15116	191744
171	15203	191640
172	15294	191573
173	15360	191212
174	15439	191011
175	15525	190893
176	15617	190847
177	15717	190904
178	15833	191155
179	15928	191146
180	16006	190923
181	16083	190704
182	16175	190659
183	16258	190503
184	16355	190519
185	16434	190327
186	16557	190628
187	16669	190813
188	16767	190827
189	16863	190827
190	16964	190877
191	17070	190974
192	17175	191070
193	17267	191006
194	17369	191067
195	17458	190978
196	17558	191009
197	17651	190958
198	17748	190952
199	17844	190939
200	17940	190924
201	18028	190814
202	18118	190733
203	18202	190595
204	18289	190478
205	18373	190339
206	18456	190187
207	18537	190006
208	18614	189792
209	18707	189747
210	18788	189578
211	18870	189420
212	18954	189280
213	19039	189147
214	19114	188925
215	19192	188731
216	19278	188605
217	19359	188447
218	19455	188424
219	19550	188391
220	19642	188340
221	19734	188280
222	19824	188201
223	19908	188064
224	20003	188034
225	20096	187986
226	20187	187910
227	20283	187891
228	20358	187667
229	20426	187389
230	20522	187364
231	20592	187109
232	20675	186962
233	20753	186781
234	20840	186673
235	20929	186592
236	21014	186473
237	21097	186335
238	21182	186212
239	21266	186082
240	21354	185987
241	21442	185897
242	21534	185830
243	21620	185719
244	21700	185560
245	21792	185503
246	21903	185599
247	21994	185530
248	22082	185436
249	22156	185232
250	22243	185127
251	22338	185087
252	22427	185007
253	22520	184948
254	22619	184947
255	22715	184914
256	22810	184882
257	22899	184797
258	22994	184752
259	23072	184576
260	23148	184387
261	23221	184177
262	23305	184051
263	23390	183936
264	23473	183800
265	23561	183710
266	23641	183556
267	23717	183371
268	23807	183293
269	23882	183102
270	23976	183056
271	24061	182940
272	24153	182872
273	24234	182732
274	24326	182671
275	24398	182460
276	24480	182324
277	24564	182204
278	24653	182117
279	24737	181999
280	24857	182142
281	24940	182010
282	25031	181941
283	25123	181878
284	25211	181791
285	25301	181707
286	25397	181673
287	25494	181649
288	25586	181584
289	25683	181558
290	25788	181582
291	25873	181467
292	25958	181354
293	26037	181198
294	26112	181017
295	26195	180891
296	26279	180771
297	26369	180696
298	26452	180570
299	26543	180496
300	26634	180422
301	26718	180304
302	26811	180249
303	26903	180180
304	26981	180023
305	27061	179876
306	27139	179719
307	27221	179592
308	27302	179452
309	27382	179308
310	27463	179174
311	27550	179075
312	27637	178982
313	27717	178836
314	27806	178758
315	27894	178666
316	27981	178571
317	28064	178446
318	28149	178341
319	28234	178230
320	28328	178179
321	28423	178131
322	28515	178069
323	28603	177974
324	28680	177819
325	28769	177735
326	28866	177700
327	28951	177590
328	29031	177452
329	29117	177353
330	29206	177268
331	29289	177145
332	29376	177052
333	29463	176957
334	29537	176782
335	29625	176697
336	29705	176557
337	29795	176483
338	29891	176437
339	29980	176354
340	30066	176254
341	30152	176154
342	30232	176020
343	30315	175900
344	30406	175829
345	30482	175672
346	30573	175600
347	30666	175537
348	30751	175433
349	30848	175398
350	30943	175347
351	31029	175243
352	31131	175234
353	31316	175692
354	31559	176464
355	31684	176578
356	31882	177097
357	32035	177356
358	32159	177456
359	32271	177493
360	32371	177461
361	32456	177345
362	32543	177238
363	32633	177155
364	32725	177074
365	32821	177018
366	32956	177175
367	33070	177212
368	33162	177137
369	33266	177121
370	33358	177045
371	33478	177112
372	33577	177067
373	33669	176990
374	33759	176897
375	33858	176856
376	33960	176828
377	34060	176788
378	34169	176798
379	34269	176759
380	34369	176719
381	34494	176806
382	34587	176732
383	34674	176624
384	34767	176546
385	34864	176488
386	34966	176460
387	35054	176356
388	35146	176272
389	35235	176179
390	35341	176166
391	35451	176170
392	35552	176133
393	35639	176025
394	35727	175922
395	35824	175865
396	35918	175793
397	35981	175566
398	36073	175484
399	36156	175361
400	36254	175306
401	36338	175182
402	36418	175043
403	36503	174929
404	36589	174814
405	36671	174688
406	36755	174565
407	36837	174438
408	36920	174310
409	37012	174227
410	37091	174087
411	37165	173918
412	37254	173824
413	37343	173727
414	37438	173658
415	37530	173580
416	37625	173508
417	37730	173487
418	37850	173532
419	37943	173456
420	38043	173408
421	38140	173350
422	38233	173272
423	38323	173179
424	38403	173041
425	38492	172944
426	38579	172839
427	38659	172701
428	38741	172576
429	38827	172464
430	38925	172409
431	39017	172327
432	39108	172238
433	39183	172084
434	39269	171972
435	39355	171863
436	39430	171706
437	39514	171592
438	39612	171532
439	39696	171415
440	39781	171305
441	39870	171209
442	39952	171083
443	40038	170975
444	40117	170838
445	40294	171115
446	40408	171127
447	40510	171083
448	40602	171001
449	40694	170918
450	40781	170812
451	40874	170734
452	40966	170647
453	41055	170551
454	41158	170513
455	41245	170408
456	41331	170300
457	41422	170212
458	41513	170122
459	41611	170064
460	41708	169999
461	41800	169914
462	41877	169771
463	41959	169648
464	42049	169554
465	42149	169503
466	42248	169448
467	42334	169336
468	42418	169222
469	42518	169168
470	42617	169113
471	42716	169057
472	42813	168989
473	42907	168913
474	42996	168818
475	43086	168723
476	43175	168629
477	43267	168545
478	43411	168660
479	43510	168602
480	43604	168525
481	43701	168457
482	43799	168396
483	43883	168280
484	43984	168228
485	44086	168183
486	44175	168083
487	44266	167995
488	44354	167894
489	44429	167743
490	44514	167631
491	44605	167543
492	44688	167423
493	44776	167324
494	44863	167220
495	44950	167114
496	45038	167013
497	45121	166893
498	45211	166801
499	45305	166724
500	45393	166625
501	45492	166564
502	45577	166453
503	45656	166319
504	45742	166213
505	45846	166170
506	45936	166079
507	46023	165976
508	46109	165866
509	46184	165719
510	46266	165600
511	46366	165542
512	46468	165491
513	46556	165394
514	46642	165286
515	46729	165183
516	46816	165079
517	46907	164989
518	46994	164886
519	47090	164816
520	47193	164770
521	47292	164708
522	47386	164630
523	47472	164522
524	47557	164411
525	47631	164264
526	47712	164140
527	47793	164017
528	47878	163910
529	47967	163812
530	48059	163728
531	48146	163625
532	48232	163520
533	48317	163409
534	48399	163292
535	48489	163198
536	48577	163101
537	48669	163015
538	48762	162934
539	48849	162831
540	48942	162749
541	49037	162673
542	49130	162592
543	49215	162483
544	49306	162393
545	49390	162284
546	49482	162198
547	49568	162091
548	49649	161970
549	49739	161880
550	49827	161780
551	49913	161675
552	49998	161568
553	50088	161477
554	50180	161391
555	50258	161260
556	50338	161136
557	50413	160998
558	50498	160891
559	50578	160768
560	50654	160631
561	50742	160534
562	50825	160420
563	50916	160332
564	50999	160219
565	51076	160087
566	51163	159988
567	51243	159865
568	51326	159751
569	51397	159602
570	51490	159522
571	51576	159418
572	51665	159325
573	51744	159200
574	51830	159097
575	51914	158988
576	52005	158900
577	52094	158806
578	52178	158699
579	52264	158596
580	52351	158494
581	52441	158404
582	52531	158315
583	52628	158246
584	52726	158179
585	52818	158095
586	52905	157995
587	52994	157901
588	53076	157787
589	53169	157706
590	53252	157594
591	53326	157457
592	53402	157324
593	53484	157212
594	53567	157102
595	53650	156991
596	53734	156882
597	53820	156780
598	53909	156689
599	53992	156576
600	54077	156474
601	54165	156376
602	54253	156281
603	54340	156184
604	54424	156076
605	54503	155956
606	54579	155825
607	54663	155720
608	54757	155641
609	54841	155534
610	54934	155452
611	55028	155375
612	55117	155282
613	55217	155219
614	55316	155156
615	55401	155052
616	55503	154995
617	55604	154935
618	55692	154840
619	55793	154781
620	55875	154670
621	55971	154597
622	56065	154517
623	56159	154438
624	56246	154341
625	56333	154242
626	56413	154125
627	56490	153999
628	56570	153882
629	56653	153773
630	56740	153674
631	56822	153564
632	56903	153449
633	56982	153330
634	57067	153229
635	57159	153144
636	57251	153060
637	57326	152931
638	57407	152817
639	57487	152701
640	57571	152596
641	57652	152482
642	57736	152377
643	57809	152244
644	57894	152142
645	57997	152085
646	58084	151990
647	58177	151907
648	58275	151840
649	58366	151753
650	58459	151670
651	58542	151562
652	58631	151472
653	58730	151405
654	58813	151299
655	58906	151216
656	58993	151119
657	59082	151029
658	59176	150950
659	59271	150873
660	59356	150770
661	59436	150656
662	59518	150546
663	59597	150431
664	59680	150323
665	59759	150206
666	59843	150100
667	59930	150004
668	60016	149907
669	60106	149818
670	60202	149743
671	60285	149637
672	60365	149523
673	60451	149424
674	60535	149320
675	60617	149212
676	60699	149103
677	60787	149011
678	60877	148922
679	60970	148839
680	61068	148769
681	61166	148702
682	61266	148636
683	61346	148524
684	61439	148441
